Designator,Mid X,Mid Y,Rotation,Layer
C1,20.6375,-14.146721,90.0,top
C2,20.955,-20.354221,270.0,top
C3,26.9875,-13.966721,90.0,top
C4,38.735,-6.845,90.0,top
C5,61.595,-27.94,0.0,top
C6,53.975,-26.67,180.0,top
D1,13.7475,-15.986721,180.0,top
D2,7.53,-31.58,270.0,top
D3,20.0,-32.6875,270.0,top
D4,30.0,-32.69,270.0,top
D5,40.0,-32.69,270.0,top
D6,50.0,-32.69,270.0,top
D7,68.58,-6.35,90.0,top
D8,64.77,-12.065,270.0,top
F1,64.77,-5.715,90.0,top
FB1,40.814221,-18.0975,90.0,top
FB2,57.9375,-29.845,180.0,top
FID1,2.500935,-2.381162,0.0,top
FID2,2.54,-47.625,0.0,top
FID3,77.579457,-2.406218,0.0,top
J1,24.765,-3.984221,90.0,top
J2,5.715,-15.8125,0.0,top
J3,50.8,-15.875,180.0,top
J4,76.2,-14.605,0.0,top
P1,57.425,-1.43,180.0,top
R1,9.525,-31.56,270.0,top
R10,29.275,-22.399221,180.0,top
R11,33.194221,-22.399221,180.0,top
R12,34.464221,-12.239221,180.0,top
R13,30.29,-12.239221,180.0,top
R14,57.975,-27.94,0.0,top
R15,54.61,-13.97,270.0,top
R16,60.325,-13.97,270.0,top
R17,62.23,-13.97,90.0,top
R18,60.325,-8.89,0.0,top
R19,64.77,-15.875,90.0,top
R2,22.0,-32.6675,270.0,top
R20,51.435,-24.13,0.0,top
R21,51.435,-22.225,0.0,top
R22,51.245,-20.32,0.0,top
R23,51.245,-18.415,0.0,top
R24,67.755,-24.13,0.0,top
R3,32.0,-32.67,270.0,top
R4,42.0,-32.67,270.0,top
R5,52.0,-32.67,270.0,top
R6,45.53,-15.414221,0.0,top
R7,41.72,-15.414221,0.0,top
R8,42.545,-5.571721,0.0,top
R9,45.72,-5.571721,0.0,top
TP1,20.0,-38.735,90.0,top
TP2,30.0,-38.735,90.0,top
TP3,40.0,-38.735,90.0,top
TP4,50.0,-38.735,90.0,top
TP5,60.0,-38.735,90.0,top
TP6,70.0,-38.735,90.0,top
TP7,10.0,-38.735,90.0,top
TP8,4.51,-32.56,90.0,top
TP9,70.16,-28.305,90.0,top
U1,43.843939,-10.205664,90.0,top
U2,15.875,-21.701721,180.0,top
U3,32.64,-17.319221,90.0,top
U4,59.69,-21.59,90.0,top
U5,57.43938,-12.065,90.0,top
